duplicate_fp,fn,fp,gt,height,image,max_conf,mean_gt_best_iou,precision_image,pred,recall_image,tp,width
0,1,20,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0004.png,0.6901240348815918,0.5433658752650696,0.16666666666666666,24,0.8,4,1024
0,1,12,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0005.png,0.6666604280471802,0.5695355250727535,0.3333333333333333,18,0.8571428571428571,6,1024
0,3,22,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0006.png,0.7190399765968323,0.4628368451483791,0.15384615384615385,26,0.5714285714285714,4,1024
0,2,13,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0007.png,0.7665164470672607,0.46587876451930577,0.2777777777777778,18,0.7142857142857143,5,1024
0,1,22,7,1023,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0008.png,0.45249059796333313,0.4842219050280535,0.21428571428571427,28,0.8571428571428571,6,1024
0,3,11,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0009.png,0.6249915957450867,0.37542032491487115,0.21428571428571427,14,0.5,3,1024
0,2,6,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0010.png,0.6664844751358032,0.1719204007758135,0.14285714285714285,7,0.3333333333333333,1,1024
0,0,13,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0011.png,0.2915419340133667,0.5398470852967816,0.13333333333333333,15,1.0,2,1024
0,2,14,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0012.png,0.19803215563297272,0.44155320461442676,0.06666666666666667,15,0.3333333333333333,1,1024
1,1,18,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0013.png,0.4882485866546631,0.517750606450209,0.05263157894736842,19,0.5,1,1024
0,1,10,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-17_0001.png,0.06984595954418182,0.443416067930022,0.09090909090909091,11,0.5,1,1024
0,4,7,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_KC-135_0002.png,0.77595454454422,0.32023450198774234,0.125,8,0.2,1,1024
0,3,11,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_KC-135_0003.png,0.7032493948936462,0.4212548771770123,0.21428571428571427,14,0.5,3,1024
2,1,9,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_V-22_0014.png,0.6732984781265259,0.5226888775183192,0.4,15,0.8571428571428571,6,1024
0,1,11,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_V-22_0015.png,0.5292952060699463,0.5092893980507547,0.35294117647058826,17,0.8571428571428571,6,1024
0,1,13,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_V-22_0016.png,0.6040255427360535,0.490472565658397,0.2777777777777778,18,0.8333333333333334,5,1024
0,2,6,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_V-22_0017.png,0.7139154672622681,0.3518263715517603,0.3333333333333333,9,0.6,3,1024
0,3,25,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0001.png,0.023612238466739655,0.14040776902887836,0.0,25,0.0,0,1024
0,2,11,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0002.png,0.33289554715156555,0.05594506046536184,0.0,11,0.0,0,1024
0,2,11,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0003.png,0.10211699455976486,0.04291029517940046,0.0,11,0.0,0,1024
0,1,28,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0004.png,0.18843990564346313,0.30953332492969493,0.0,28,0.0,0,1024
0,3,14,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0005.png,0.03054329939186573,0.09459230719916228,0.0,14,0.0,0,1024
0,3,8,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0006.png,0.03481278195977211,0.14180381956003396,0.0,8,0.0,0,1024
0,3,10,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0007.png,0.10164894908666611,0.16822063344237226,0.0,10,0.0,0,1024
0,3,16,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0008.png,0.16992394626140594,0.11842370643814237,0.0,16,0.0,0,1024
0,3,16,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0009.png,0.22052377462387085,0.05752932372767786,0.0,16,0.0,0,1024
0,4,8,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0010.png,0.022499099373817444,0.22988687645637274,0.0,8,0.0,0,1024
0,0,6,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0011.png,0.023220956325531006,0.6579831082463311,0.14285714285714285,7,1.0,1,1024
1,3,13,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0012.png,0.014056382700800896,0.2232489082223146,0.07142857142857142,14,0.25,1,1024
0,2,16,3,1023,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0013.png,0.010842356830835342,0.2938697301726428,0.058823529411764705,17,0.3333333333333333,1,1024
5,0,101,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0001.png,0.7846649289131165,0.8412088584965718,0.0380952380952381,105,1.0,4,1024
5,0,66,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0002.png,0.7636802792549133,0.8531122407601737,0.05714285714285714,70,1.0,4,1024
